ID,GSM663026,GSM663027,GSM663028,GSM663029,GSM663030,GSM663031,GSM663032,GSM663033,GSM663034,GSM663035,GSM663036,GSM663037,GSM663038,GSM663039,GSM663040,GSM663041,GSM663042,GSM663043,GSM663044,GSM663045
Group,ALS,ALS,ALS,ALS,ALS,ALS,ALS,ALS,ALS,ALS,CONT,CONT,CONT,CONT,CONT,CONT,CONT,CONT,CONT,CONT
ILMN_10000,232.595,154.986,163.987,242.005,280.746,168.028,221.639,234.702,156.667,148.318,217.626,221.621,205.924,192.013,176.668,157.13,143.619,181.183,228.751,254.462
ILMN_10001,2862.856,2060.051,4735.594,3298.977,4266.86,2171.21,2044.274,2016.306,4252.854,4439.688,2749.56,3724.723,3033.783,2778.01,2059.691,2159.775,2369.021,2630.161,2523.86,2013.905
ILMN_10002,9.538,1.54,17.781,14.616,12.849,-0.469,12.773,13.517,6.897,6.639,-2.511,-0.878,-3.156,-6.597,-5.338,8.282,7.962,1.404,4.171,3.567
ILMN_10004,1995.067,2296.4,4843.235,4492.444,2140.358,3753.477,3925.722,4347.714,2788.092,2788.435,3790.061,3397.965,3124.863,4649.91,3628.22,3972.717,3966.416,4134.042,3065.538,2534.51
ILMN_10005,107.406,65.027,88.856,54.198,78.199,22.025,49.41,39.135,23.021,100.492,51.226,45.186,72.25,35.688,63.034,68.016,47.132,38.677,69.965,64.859
ILMN_10006,61.38,64.553,34.396,54.125,53.301,100.029,67.572,67.7,89.889,81.131,61.098,51.577,67.501,82.078,64.888,83.688,90.618,47.264,53.641,85.05
ILMN_10009,51.122,43.801,56.88,74.154,67.517,41.968,41.984,71.74,53.884,66.698,101.607,42.023,91.715,42.874,36.212,31.204,51.385,30.244,50.303,53.783
ILMN_1001,384.708,460.989,574.307,545.893,1300.905,437.479,691.513,754.738,2359.506,2128.151,3258.237,1019.646,1804.99,1338.718,256.603,297.439,587.554,1837.153,2610.251,2200.028
ILMN_10010,23.212,20.103,6.796,31.753,34.253,34.222,17.785,17.012,38.575,14.144,29.733,31.165,42.412,31.047,24.536,21.443,26.955,12.802,26.234,10.469
ILMN_10011,342.415,300.796,360.206,386.732,626.918,609.103,718.201,695.564,438.464,340.105,579.164,455.932,590.065,363.146,255.853,230.466,534.557,344.119,592.081,909.639
ILMN_10012,23.927,14.761,21.106,50.985,9.749,18.103,9.596,7.295,11.383,10.048,14.669,10.997,28.985,24.127,21.532,5.425,19.153,25.27,13.48,40.159
ILMN_10013,14.482,12.295,10.229,9.731,16.589,7.699,20.067,20.795,12.152,13.964,24,8.116,23.188,36.207,25.954,9.355,0.671,11.281,16.439,19.407
ILMN_10014,26.721,35.815,25.573,20.54,31.151,23.828,36.333,22.317,35.631,23.803,25.5,29.06,17.867,37.169,39.031,24.084,22.061,30.46,28.786,32.534
ILMN_10016,36.7,50.855,57.162,40.226,17.419,51.675,47.717,38.114,22.259,33.636,55.222,41.222,33.936,27.824,55.595,52.358,33.155,21.23,50.787,51.387
ILMN_1002,9.162,7.484,11.088,13.442,31.203,114.233,81.589,47.92,8.522,14.732,16.797,36.61,54.333,16.732,30.028,28.17,15.321,18.185,30.787,4.179
ILMN_10020,1012.256,983.723,882.38,1016.545,692.237,1090.919,1336.733,1289.78,753.921,725.174,755.636,947.963,950.847,1354.278,1604.634,1686.019,1587.022,992.83,798.475,675.052
ILMN_10021,222.012,276.379,274.295,218.393,205.629,262.432,228.202,245.501,187.747,177.69,258.594,210.192,265.451,297.934,277.219,289.905,235.742,204.71,224.764,259.489
ILMN_10022,42.84,30.175,25.061,28.913,35.996,41.073,59.707,13.778,29.42,67.621,44.686,31.835,17.648,34.316,33.659,25.573,55.716,32.883,26.928,45.389
ILMN_10023,15.165,8.86,7.343,8.298,3.583,6.683,9.259,16.31,7.451,7.097,15.532,-9.556,17.299,3.641,-10.49,-2.171,-0.905,10.438,5.78,-0.743
ILMN_10024,15.41,19.682,22.288,16.992,14.58,34.411,22.737,25.866,15.708,22.704,18.023,26.518,24.179,20.97,29.836,26.863,30.217,27.325,18.608,30.259
ILMN_10025,125.69,88.715,659.177,184.483,286.678,38.058,228.231,217.149,1172.296,1304.621,518.965,330.311,407.744,509.918,77.216,108.692,88.086,856.352,494.495,307.646
ILMN_10026,159.08,137.732,160.614,182.916,141.087,122.222,176.968,187.288,152.603,174.049,151.699,139.478,103.468,125.584,175.883,158.205,125.776,179.84,184.811,173.999
ILMN_10028,123.75,136.193,147.129,184.311,105.114,396.49,466.828,437.989,285.307,240.817,168.282,118.362,79.859,108.366,82.243,86.163,102.596,94.666,152.835,116.705
ILMN_10029,23.493,12.563,20.541,39.117,25.4,18.55,9.201,21.608,27.31,27.878,16.674,15.951,23.044,23.564,20.763,20.077,20.245,24.908,25.551,21.858
ILMN_1003,799.443,845.215,520.553,621.581,837.542,380.97,562.148,494.557,995.604,1088.832,1182.883,863.743,782.973,750.279,576.175,569.517,622.826,1168.82,1034.642,1116.302
ILMN_10031,18.779,23.757,10.094,22.456,15.089,6.171,13.206,17.766,13.659,8.843,34.655,21.965,11.338,17.064,23.376,12.2,21.066,16.152,10.914,21.797
ILMN_10032,8.164,25.231,11.631,31.817,12.962,15.848,18.541,21.508,27.925,23.046,23.067,24.349,20.43,6.476,31.275,27.294,9.219,14.613,6.765,46.028
ILMN_10033,925.111,861.505,682.873,1154.609,703.624,924.314,999.473,950.133,901.605,854.353,971.173,813.272,921.654,963.11,928.736,840.393,748.066,911.557,1032.947,996.989
ILMN_10035,58.079,49.235,58.262,89.138,57.989,90.491,81.691,60.453,50.735,35.548,43.638,66.602,32.971,63.751,33.919,49.803,67.81,84.497,55.846,73.14
ILMN_10036,25.82,23.321,28.188,72.253,24.81,32.457,21.936,36.205,62.608,46.451,61.544,42.763,59.932,42.461,26.084,35.035,25.264,38.944,42.708,39.306
ILMN_10038,11.556,18.569,28.599,17.357,7.983,12.778,9.699,10.586,19.207,6.117,9.803,19.37,13.578,12.929,13.517,17.602,2.698,7.388,2.816,9.173
ILMN_10039,176.594,208.741,203.619,216.906,151.426,153.374,231.284,235.378,169.742,176.09,148.011,114.628,158.744,156.774,193.329,217.422,173.24,163.097,209.072,170.166
ILMN_1004,77.038,65.285,77.175,101.838,136.405,80.189,113.584,135.032,64.372,54.034,51.603,73.197,50.56,76.4,83.504,60.663,69.483,64.704,93.004,36.122
ILMN_10040,742.217,775.168,821.717,822.779,862.949,777.788,615.965,558.976,728.809,759.497,1125.637,730.523,724.375,691.047,645.278,675.852,589.666,942.072,706.106,1031.386
ILMN_10044,226.998,199.811,172.707,102.996,225.558,102.497,178.409,132.503,112.389,137.65,139.711,216.493,158.254,165.15,120.072,121.12,93.792,257.657,288.502,255.118
ILMN_10045,523.35,605.698,444.423,633.511,418.511,557.459,487.87,537.909,615.187,528.7,511.658,534.644,539.759,495.601,482.085,534.743,556.915,542.175,396.71,425.156
ILMN_1005,1917.909,2323.551,1859.624,2299.103,1890.069,1717.712,1994.017,2026.297,2012.734,2012.794,2052.131,2088.512,1770.302,2147.393,2018.181,2228.794,2085.086,2391.789,1937.993,2439.727
ILMN_10052,14.462,13.076,10.144,12.614,2.694,9.141,12.843,19.341,12.052,5.914,2.785,17.507,13.067,8.145,5.593,9.586,27.11,14.96,15.373,7.798
ILMN_10054,861.249,999.689,1280.258,1099.679,1298.976,1122.953,1372.509,1318.631,1179.705,1019.298,1339.511,1465.375,1119.757,1341.324,1244.454,1212.464,1292.923,1351.755,1576.005,1706.761
ILMN_10057,2362.644,2437.494,2387.359,2351.888,2457.192,2549.955,2517.881,2744.035,2870.557,2761.652,2217.543,2526.286,2485.802,2495.865,2743.03,2735.825,2801.403,2660.585,2843.947,2520.508
ILMN_10059,157.974,203.145,193.435,129.62,88.366,116.226,146.769,203.22,86.317,93.855,81.341,76.575,84.782,81.936,132.047,136.729,136.15,123.594,128.836,80.157
ILMN_1006,159.327,163.243,84.937,134.28,55.938,88.775,100.176,92.969,93.613,84.969,116.801,125.509,97.038,72.741,183.515,207.99,171.436,72.621,94.452,103.153
ILMN_10062,320.616,428.77,350.165,344.849,419.551,367.915,404.817,479.744,424.448,404.649,399.159,341.036,344.132,315.516,383.692,476.847,519.969,357.364,327.562,337.513
ILMN_10063,346.879,189.73,529.185,473.782,583.141,201.001,332.128,253.763,287.565,266.59,335.319,618.675,442.497,272.415,198.81,233.663,398.778,283.905,417.796,282.496
ILMN_10066,313.506,334.346,141.932,176.754,140.679,145.849,170.287,201.043,141.583,151.006,151.076,123.38,159.591,130.066,309.423,284.324,146.134,129.261,124.549,84.655
ILMN_10067,360.88,360.648,346.742,394.088,469.958,285.382,300.979,340.602,330.336,300.224,283.884,297.02,352.358,300.338,303.989,335.581,288.653,487.173,241.39,601.547
ILMN_1007,9086.048,8797.647,6336.424,8118.667,4485.686,6156.635,5841.714,6627.204,4612.458,4671.981,5519.161,5570.913,5779.3,4662.796,7103.794,6912.79,6489.852,4528.375,5921.504,4610.188
ILMN_10070,196.511,222.673,180.032,231.54,217.789,149.515,231.842,234.296,202.283,231.212,197.371,137.775,184.611,216.738,173.055,187.672,146.927,194.222,194.842,178.25
ILMN_10072,20.614,16.083,25.4,38.132,23.161,21.911,17.414,31.136,22.569,17.393,23.381,36.717,10.795,29.718,27.166,23.224,7.233,29.183,30.955,12.164
ILMN_10073,1107.678,1085.069,1186.977,1159.088,1157.748,1141.812,1349.409,1290.399,1106.035,1029.267,783.582,934.142,996.884,1078.45,1176.418,1092.519,1405.264,851.351,941.281,782.078
ILMN_10074,40.569,28.584,24.305,26.23,33.917,21.209,28.312,10.983,8.13,26.281,18.926,24.656,23.471,47.007,29.466,13.046,14.852,34.456,14.614,14.795
ILMN_10075,16.423,19.835,22.499,17.704,10.24,22.474,4.651,24.926,20.979,14.791,12.121,4.817,1.515,17.925,29.258,20.59,15.485,16.466,17.249,9.416
ILMN_10076,8017.444,7419.528,3833.418,4163.622,4258.857,4816.019,3683.613,3611.989,3882.451,4070.343,2824.615,4976.464,4395.758,4138.178,6118.624,6426.042,4661.755,3496.071,2965.836,3685.823
ILMN_10077,1187.479,866.086,1262.635,1544.745,3396.151,2267.943,2001.371,1703.108,2365.568,2306.027,3429.239,2597.286,2640.478,1967.544,1467.323,1485.259,2038.538,1639.061,2373.033,3418.616
ILMN_10078,1531.523,1592.4,1567.705,783.184,820.904,1098.433,911.583,875.557,1063.046,982.92,1081.816,1171.659,894.784,1044.159,1280.614,1431.426,986.288,1487.121,773.021,1114.186
ILMN_10080,28.898,37.392,37.651,20.302,39.765,57.385,67.332,37.455,56.192,81.753,41.107,41.104,30.964,58.781,58.881,48.503,78.907,25.134,19.6,64.005
ILMN_10081,7.724,8.012,11.803,19.739,11.801,25.268,19.474,13.339,15.354,20.666,9.62,11.668,9.896,12.439,9.062,21.14,9.509,3.609,13.152,15.216
ILMN_10082,11.367,11.772,17.68,12.058,23.755,13.63,1.408,15.049,33.327,18.224,16.158,23.975,9.236,-0.491,15.722,18.886,22.62,17.146,11.786,9.006
ILMN_10084,33.051,17.067,44.161,38.961,25.656,27.343,19.93,37.071,45.033,25.378,6.656,25.381,27.428,13.184,26.307,1.157,39.191,24.108,31.416,17.979
ILMN_10085,424.995,423.967,569.446,573.909,484.507,447.37,523.896,576.519,514.245,526.512,507.25,437.589,439.369,371.293,480.283,532.896,496.904,471.543,514.22,432.103
ILMN_10087,789.836,843.096,586.583,685.445,671.753,673.839,595.732,558.41,685.389,658.276,598.045,443.619,494.06,460.406,759.414,767.322,707.624,553.451,537.795,468.66
ILMN_10088,287.028,187.936,289.347,476.877,496.188,217.085,401.322,361.433,203.254,266.526,265.374,389.373,415.361,226.03,174.502,190.828,173.578,148.715,513.423,397.896
ILMN_1009,962.878,1070.522,1035.842,1058.828,1058.895,1013.114,1052.581,1000.774,995.033,954.168,979.647,865.285,1005.077,1035.201,1150.647,1167.919,1087.622,954.3,942.485,1130.484
ILMN_10090,41.08,33.873,32.983,29.392,27.532,42.265,22.551,31.494,41.958,26.512,41.954,32.269,29.525,30.195,30.575,32.677,49.297,45.187,31.723,29.429
ILMN_10091,679.622,687.5,684.231,820.29,807.252,586.553,636.086,662.323,708.224,688.993,692.669,618.627,524.776,661.679,594.43,539.13,408.102,590.618,677.832,643.872
ILMN_10092,446.018,469.321,301.143,272.469,188.1,263.918,298.518,279.763,325.938,242.347,463.158,352.885,352.662,352.345,550.767,523.265,293.243,310.183,298.899,371.068
ILMN_10093,13.154,24.005,12.226,13.139,50.853,24.672,43.936,10.069,40.979,26.129,37.141,11.464,9.864,42.87,14.177,32.267,20.102,18.308,11.064,30.634
ILMN_10094,110.437,116.2,134.826,101.177,194.764,176.536,90.414,137.497,188.046,251.043,171.449,188.342,208.747,156.117,107.387,125.437,285.736,123.367,163.018,153.659
ILMN_10095,667.053,661.485,1445.23,803.006,1009.032,696.252,913.034,855.914,1536.024,1674.354,2674.197,1321.897,1824.634,1240.217,890.775,902.24,774.071,2128.811,2780.436,1802.64
ILMN_10096,135.676,180.01,138.106,141.022,174.147,155.301,181.018,183.97,160.443,173.633,181.855,128.286,160.487,155.683,193.326,176.17,113.798,137.226,124.847,125.667
ILMN_10097,31.252,15.933,16.673,23.497,36.583,13.02,21.795,17.884,19.211,14.643,13.811,19.561,24.151,17.622,15.306,29.156,28.23,20.064,15.202,21.004
ILMN_10099,21.574,22.841,17.49,25.044,24.434,31.205,19.185,24.418,21.074,28.107,24.614,27.483,20.361,29.019,14.529,14.005,23.778,20.92,12.764,17.064
ILMN_10100,205.702,197.262,212.185,236.913,183.48,231.104,300.107,276.216,215.061,261.945,182.888,166.766,209.523,206.027,231.209,229.569,285.868,203.303,195.972,114.556
ILMN_10101,20.03,2.226,21.311,25.356,18.067,25.178,24.117,19.011,10.4,20.689,8.485,8.84,32.601,26.215,16.802,12.317,8.436,23.928,13.409,54.538
ILMN_10102,168.691,161.621,197.309,202.638,292,287.037,237.129,262.376,352.572,320.053,279.578,220.838,416.664,275.561,242.615,198.094,293.335,197.291,227.056,287.626
ILMN_10103,24.584,10.963,-0.882,-1.754,-0.017,-1.062,-3.942,-1.852,7.614,-0.964,-1.19,8.857,6.563,-0.512,-7.957,11.104,8.835,1.568,-0.489,-4.626
ILMN_10104,1529.981,1661.83,2056.923,1457.551,1620.076,1229.725,1520.317,1482.672,1420.963,1467.74,1436.681,1585.726,1460.698,1607.502,2070.727,1809.045,1470.241,1919.11,1641.625,1761.46
ILMN_10105,23.23,29.365,26.328,44.844,47.957,31.077,21.849,28.847,37.513,34.328,19.515,22.731,34.198,31.551,30.794,25.956,31.517,15.168,16.932,32.027
ILMN_10106,0.39,11.32,8.912,10.666,13.029,7.547,21.157,1.213,0.992,19.339,9.854,-0.281,11.6,0.842,2.26,11.494,20.923,13.37,4.719,5.26
ILMN_10107,354.608,356.314,309.963,234.739,190.865,183.185,210.427,229.364,203.092,212.091,173.836,200.226,193.92,196.693,222.906,224.415,300.739,222.319,260.294,105.243
ILMN_10108,131.329,125.33,257.467,95.048,155.629,53.36,97.316,87.351,106.579,117.603,185.453,132.958,140.972,164.086,163.694,157.634,80.168,269.999,308.26,136.115
ILMN_1011,160.666,187.533,146.506,161.004,153.868,178.111,155.739,176.811,259.196,205.478,166.721,171.554,135.87,218.367,202.355,156.797,181.948,159.584,137.996,173.246
ILMN_10110,34.759,53.464,43.246,64.926,34.694,44.743,49.841,48.616,79.212,32.705,44.685,44.742,43.497,29.843,36.398,52.792,43.044,42.443,46.238,46.808
ILMN_10112,12.799,17.629,11.836,25.582,11.243,23.098,10.028,23.726,17.81,12.722,18.826,7.228,5.442,19.274,20.339,17.801,19.669,15.116,11.65,23.208
