Packages,Version
shiny ,1.7.1
shinydashboard,0.7.2
shinyjs,2.0.0
shinyWidgets,0.6.2
shinyBS,0.61
shinyDarkmode,0.1.0
leaflet,2.0.4.1
tidyverse,1.3.1
DT,0.19
limma,3.48.3
reshape2,1.4.4
dlookr,0.5.1
caTools,1.18.2
e1071,1.7.9
caret,6.0.89
pROC,1.18.0
MLmetrics,1.1.1
class,7.3.19
ElemStatLearn,6.26.2
RColorBrewer,1.1.2
FNN,1.1.3
cluster,2.1.2
randomForest,4.6.14
factoextra,1.0.7
MASS,7.3.54
psych,2.1.9
Boruta,7.0.0
glmnet,4.1.2
igraph,1.2.6
ComplexHeatmap,2.8.0
car,3.0.11
MBMethPred,0.1.0
keras,2.9.0.9000
